日期,指数代码,指数中文全称,指数中文简称,指数英文全称,指数英文简称,市盈率1,市盈率2,股息率1,股息率2
2026-05-29,300,沪深300指数,沪深300,CSI 300 Index,CSI 300,14.92,17.62,2.73,2.32
2026-05-28,300,沪深300指数,沪深300,CSI 300 Index,CSI 300,14.92,17.7,2.56,2.26
2026-05-27,300,沪深300指数,沪深300,CSI 300 Index,CSI 300,14.92,17.68,2.55,2.26
2026-05-26,300,沪深300指数,沪深300,CSI 300 Index,CSI 300,15.05,17.82,2.53,2.25
2026-05-25,300,沪深300指数,沪深300,CSI 300 Index,CSI 300,14.98,17.72,2.54,2.26
2026-05-22,300,沪深300指数,沪深300,CSI 300 Index,CSI 300,14.82,17.44,2.57,2.29
2026-05-21,300,沪深300指数,沪深300,CSI 300 Index,CSI 300,14.71,17.22,2.59,2.32
2026-05-20,300,沪深300指数,沪深300,CSI 300 Index,CSI 300,14.9,17.45,2.56,2.29
2026-05-19,300,沪深300指数,沪深300,CSI 300 Index,CSI 300,14.97,17.46,2.54,2.29
2026-05-18,300,沪深300指数,沪深300,CSI 300 Index,CSI 300,14.89,17.39,2.56,2.3
2026-05-15,300,沪深300指数,沪深300,CSI 300 Index,CSI 300,14.96,17.49,2.55,2.29
2026-05-14,300,沪深300指数,沪深300,CSI 300 Index,CSI 300,15.1,17.68,2.52,2.26
2026-05-13,300,沪深300指数,沪深300,CSI 300 Index,CSI 300,15.3,17.98,2.49,2.22
2026-05-12,300,沪深300指数,沪深300,CSI 300 Index,CSI 300,15.21,17.8,2.5,2.25
2026-05-11,300,沪深300指数,沪深300,CSI 300 Index,CSI 300,15.23,17.81,2.5,2.25
2026-05-08,300,沪深300指数,沪深300,CSI 300 Index,CSI 300,15.05,17.52,2.53,2.28
2026-05-07,300,沪深300指数,沪深300,CSI 300 Index,CSI 300,15.13,17.63,2.52,2.27
2026-05-06,300,沪深300指数,沪深300,CSI 300 Index,CSI 300,15.12,17.55,2.52,2.28
2026-05-05,300,沪深300指数,沪深300,CSI 300 Index,CSI 300,15.46,18.09,2.54,2.31
2026-05-04,300,沪深300指数,沪深300,CSI 300 Index,CSI 300,15.46,18.09,2.54,2.31
