etf_code,etf_name,index_code,index_type,current_price,price_percentile,hist_days,pe,dividend_yield,volume,market_cap
159707,地产ETF华宝,sz399393,industry_inferred,0.53,8.1,1210,,,111220823.089,585940550
159506,港股通创新药医疗ETF富国,sz399394,industry_inferred,1.188,5.45,1210,,,579273176.568,2613049927
159892,恒生医药ETF华夏,sz399394,industry_inferred,0.692,5.45,1210,,,979407733.941,5293292017
159768,房地产ETF银华,sz399393,industry,0.472,8.1,1210,,,68819065.1,381116543
159557,恒生医疗ETF嘉实,sz399394,industry_inferred,1.306,5.45,1210,,,86834958.6,229718811
159776,港股医药ETF银华,sz399394,industry_inferred,1.051,5.45,1210,,,25171813.3,97710172
513200,港股通医药ETF易方达,sz399394,industry_inferred,0.934,5.45,1210,,,398847075.0,1251823478
513060,恒生医疗ETF博时,sz399394,industry_inferred,0.517,5.45,1210,,,751747648.0,5834548392
512690,酒ETF鹏华,sz399932,industry,0.457,0.5,1210,,,1811842936.0,15633216045
515650,消费50ETF富国,sz399932,industry,1.051,0.5,1210,,,100514827.0,3265650384
159303,恒生医疗ETF大成,sz399394,industry_inferred,1.43,5.45,1210,,,52389266.5,95798121
159718,港股医药ETF平安,sz399394,industry_inferred,0.782,5.45,1210,,,32671315.7,178947120
560680,消费ETF广发,sz399932,industry_inferred,0.758,0.5,1210,,,21775402.0,239320005
510630,消费ETF华夏,sz399932,industry_inferred,0.837,0.5,1210,,,59997008.0,461489579
513700,港股通医药ETF鹏华,sz399394,industry_inferred,0.558,5.45,1210,,,170263129.0,567958068
512120,医药ETF华安,sz399394,industry_inferred,0.421,5.45,1210,,,12070456.0,346163842
159798,消费ETF易方达,sz399932,industry_inferred,0.846,0.5,1210,,,20578728.3,111879600
159862,食品饮料ETF银华,sz399932,industry_inferred,0.567,0.5,1210,,,6566379.5,199867854
517880,品牌消费ETF华泰柏瑞,sz399932,industry_inferred,0.759,0.5,1210,,,3699779.0,38964859
159928,消费ETF汇添富,sz399932,industry,0.689,0.5,1210,,,576247512.048,16298039464
159632,纳斯达克ETF华安,sh000852,broad,2.508,98.02,1210,,,385929861.249,12082843205
516900,食品饮料ETF华安,sz399932,industry_inferred,0.517,0.5,1210,,,10018896.0,185979897
515710,食品饮料ETF华宝,sz399932,industry_inferred,0.517,0.5,1210,,,45719717.0,1294878101
159268,港股通消费ETF汇添富,sz399932,industry_inferred,0.816,0.5,1210,,,70727560.7,448844900
159843,食品饮料ETF招商,sz399932,industry_inferred,0.56,0.5,1210,,,15606104.475,373774876
159689,消费ETF南方,sz399932,industry_inferred,0.652,0.5,1210,,,4049140.4,57472357
517990,沪港深医药ETF招商,sz399394,industry_inferred,0.808,5.45,1210,,,1609346.0,37966223
159670,消费50ETF国联安,sh000016,broad_inferred,0.858,69.42,1210,,,3238161.3,49512538
512600,消费ETF嘉实,sz399932,industry_inferred,0.588,0.5,1210,,,14502893.0,897144584
513970,恒生消费ETF景顺,sz399932,industry_inferred,0.827,0.5,1210,,,171695622.0,1759062914
515170,食品饮料ETF华夏,sz399932,industry_inferred,0.484,0.5,1210,,,152225495.0,4401136864
159577,美国50ETF汇添富,sh000016,broad_inferred,1.623,69.42,1210,,,251003881.075,1070637580
159672,消费ETF博时,sz399932,industry_inferred,0.648,0.5,1210,,,3507867.876,84815041
159736,食品饮料ETF天弘,sz399932,industry,0.613,0.5,1210,,,40151110.9,4686013826
159699,恒生消费ETF广发,sz399932,industry_inferred,0.901,0.5,1210,,,78881454.4,706982495
520620,恒生消费ETF嘉实,sz399932,industry_inferred,0.829,0.5,1210,,,12347694.0,310385068
520520,恒生消费ETF华泰柏瑞,sz399932,industry_inferred,0.972,0.5,1210,,,3520505.0,58423032
159508,生物医药ETF华安,sz399394,industry_inferred,0.726,5.45,1210,,,5493007.2,49971740
513230,港股通消费ETF华夏,sz399932,industry_inferred,0.899,0.5,1210,,,50265172.0,398637011
512010,医药ETF易方达,sz399394,industry,0.344,5.45,1210,,,743099038.0,16864839072
159228,红利低波ETF长城,sh000015,broad_inferred,1.037,90.58,1210,,,1254632.3,138141562
526010,港股通医疗ETF汇添富,sz399394,industry_inferred,0.872,5.45,1210,,,14544128.0,85855376
512290,生物医药ETF国泰,sz399394,industry,0.92,5.45,1210,,,157466044.0,3644875048
159265,港股消费ETF鹏华,sz399932,industry_inferred,0.842,0.5,1210,,,33285132.3,236560654
513590,港股通消费ETF鹏华,sz399932,industry_inferred,0.8,0.5,1210,,,10542905.0,126975120
510660,医药ETF华夏,sz399394,industry_inferred,2.283,5.45,1210,,,10350981.0,95611355
513070,港股通消费ETF易方达,sz399932,industry_inferred,1.137,0.5,1210,,,143532134.0,1651789030
159760,医疗健康ETF泰康,sz399394,industry_inferred,0.548,5.45,1210,,,1678515.7,78013402
159735,港股消费ETF银华,sz399932,industry_inferred,0.69,0.5,1210,,,60561810.5,635877349
563690,红利低波ETF永赢,sh000015,broad_inferred,1.012,90.58,1210,,,5233767.0,43396584
159547,红利低波ETF华夏,sh000015,broad_inferred,1.206,90.58,1210,,,159090915.4,1347447012
159366,港股医疗ETF永赢,sz399394,industry_inferred,1.215,5.45,1210,,,91145705.1,299294682
560520,红利低波100ETF大成,sh000015,broad_inferred,1.118,90.58,1210,,,1688804.0,13137618
563020,红利低波ETF易方达,sh000015,broad_inferred,1.175,90.58,1210,,,381505583.0,10534944269
159285,港股通消费ETF华安,sz399932,industry_inferred,0.808,0.5,1210,,,21251295.349,241985244
159355,800红利低波ETF华宝,sh000015,broad_inferred,1.054,90.58,1210,,,3152506.5,110916928
159253,银行ETF博时,sz399986,industry_inferred,0.926,74.96,1210,,,3304443.253,633851608
159520,消费龙头ETF工银,sz399932,industry_inferred,0.929,0.5,1210,,,7272695.9,150663036
560150,红利低波ETF泰康,sh000015,broad_inferred,1.124,90.58,1210,,,12131503.0,773625929
516210,银行ETF华安,sz399986,industry_inferred,1.324,74.96,1210,,,17235425.0,122113844
516130,消费龙头ETF华宝,sz399932,industry_inferred,0.689,0.5,1210,,,18626916.0,1014132210
510650,金融地产ETF华夏,sz399393,industry_inferred,2.709,8.1,1210,,,1365205.0,28315823
159859,生物医药ETF天弘,sz399394,industry_inferred,0.349,5.45,1210,,,143737422.887,4128055805
515290,银行ETF天弘,sz399986,industry_inferred,1.395,74.96,1210,,,84125542.0,4361011190
563890,国企红利ETF创金合信,sh000015,broad_inferred,1.05,90.58,1210,,,289990.0,28177800
512820,银行ETF汇添富,sz399986,industry_inferred,1.363,74.96,1210,,,95018975.0,667463695
512890,红利低波ETF华泰柏瑞,sh000015,broad_inferred,1.167,90.58,1210,,,923199597.0,32498745360
563590,A500红利低波动ETF国寿,sh000905,broad_inferred,0.967,97.11,1210,,,198021.0,69570235
512730,银行ETF鹏华,sz399986,industry_inferred,1.592,74.96,1210,,,9516076.0,116349569
