code,name,pe,pb,amount,price,discount_rt,index_nm
159007,养殖ETF华泰柏瑞,-,-,21660,0.870,-,畜牧养殖
159008,证券ETF景顺,-,-,19728,0.963,-,证券公司
159009,创业板新能源ETF易方达,-,-,5139,1.116,-,创新能源
159012,科创创业50ETF鹏华,-,-,11688,1.065,-,科创创业50
159013,工业互联网ETF大成,-,-,7158,1.094,-,工业互联
159016,证券ETF广发,-,-,25954,0.951,-,证券公司30
159017,石油ETF工银,-,-,17926,0.918,-,国证油气
159018,石油ETF广发,-,-,3490,0.908,-,国证油气
159019,石油ETF华宝,-,-,6433,0.929,-,国证油气
159020,养殖ETF易方达,-,-,10657,0.899,-,畜牧养殖
159021,大盘价值ETF华夏,-,-,21291,0.971,-,大盘价值
159022,科创创业人工智能ETF富国,-,-,12963,1.143,-,科创创业AI
159026,石油ETF南方,-,-,6051,0.925,-,国证油气
159027,畜牧养殖ETF大成,-,-,14547,0.901,-,畜牧养殖
159029,有色ETF广发,-,-,32213,0.941,-,有色矿业
159030,粮食ETF华夏,-,-,36197,0.873,-,国证粮食
159032,工业有色ETF易方达,-,-,27985,0.928,-,工业有色
159035,软件ETF天弘,-,-,30586,0.897,-,中证软件
159038,粮食ETF易方达,-,-,20903,0.933,-,国证粮食
159103,金融科技ETF汇添富,-,-,30341,0.716,-,金融科技
159007,养殖ETF华泰柏瑞,-,-,21660,0.870,-,畜牧养殖
159008,证券ETF景顺,-,-,19728,0.963,-,证券公司
159009,创业板新能源ETF易方达,-,-,5139,1.116,-,创新能源
159012,科创创业50ETF鹏华,-,-,11688,1.065,-,科创创业50
159013,工业互联网ETF大成,-,-,7158,1.094,-,工业互联
159016,证券ETF广发,-,-,25954,0.951,-,证券公司30
159017,石油ETF工银,-,-,17926,0.918,-,国证油气
159018,石油ETF广发,-,-,3490,0.908,-,国证油气
159019,石油ETF华宝,-,-,6433,0.929,-,国证油气
159020,养殖ETF易方达,-,-,10657,0.899,-,畜牧养殖
159021,大盘价值ETF华夏,-,-,21291,0.971,-,大盘价值
159022,科创创业人工智能ETF富国,-,-,12963,1.143,-,科创创业AI
