date,index_code,index_name,pe1,pe2,dividend_yield
2026-05-30,000300,沪深300,14.92,17.62,2.73
2026-05-30,000905,中证500,29.82,31.7,1.29
2026-05-30,000852,中证1000,37.69,38.46,0.97
2026-05-30,000016,上证50,11.42,13.42,3.66
2026-05-30,000688,科创50,93.82,94.93,0.3
2026-05-30,000015,上证红利,8.41,10.41,5.07
2026-05-30,000903,中证100,17.94,21.09,2.81
2026-05-30,000010,上证180,12.27,16.08,3.19
2026-06-04,000300,沪深300,14.9,17.68,2.73
2026-06-04,000905,中证500,29.72,31.67,1.29
2026-06-04,000852,中证1000,37.69,38.49,0.96
2026-06-04,000016,上证50,11.33,13.29,3.69
2026-06-04,000688,科创50,93.52,94.4,0.3
2026-06-04,000015,上证红利,8.47,10.81,5.03
2026-06-04,000903,中证100,17.86,21.1,2.83
2026-06-04,000010,上证180,12.23,16.0,3.2
